tick,place,kind,value
0,0,1,3
0,0,2,0
0,1,1,0
0,1,2,0
1,0,1,3
1,0,2,0
1,1,1,0
1,1,2,1
2,0,1,3
2,0,2,0
2,1,1,0
2,1,2,2
3,0,1,3
3,0,2,1
3,1,1,0
3,1,2,2
4,0,1,3
4,0,2,1
4,1,1,0
4,1,2,3
5,0,1,3
5,0,2,2
5,1,1,0
5,1,2,3
6,0,1,3
6,0,2,2
6,1,1,0
6,1,2,4
7,0,1,3
7,0,2,3
7,1,1,0
7,1,2,4
8,0,1,3
8,0,2,3
8,1,1,0
8,1,2,5
9,0,1,3
9,0,2,4
9,1,1,0
9,1,2,5
10,0,1,3
10,0,2,4
10,1,1,0
10,1,2,6
11,0,1,3
11,0,2,5
11,1,1,0
11,1,2,6
12,0,1,3
12,0,2,5
12,1,1,0
12,1,2,7
13,0,1,3
13,0,2,6
13,1,1,0
13,1,2,7
14,0,1,3
14,0,2,6
14,1,1,0
14,1,2,8
15,0,1,3
15,0,2,7
15,1,1,0
15,1,2,8
16,0,1,3
16,0,2,7
16,1,1,0
16,1,2,9
17,0,1,3
17,0,2,8
17,1,1,0
17,1,2,9
18,0,1,3
18,0,2,8
18,1,1,0
18,1,2,10
19,0,1,3
19,0,2,9
19,1,1,0
19,1,2,10
20,0,1,3
20,0,2,9
20,1,1,0
20,1,2,11
21,0,1,3
21,0,2,10
21,1,1,0
21,1,2,11
22,0,1,3
22,0,2,10
22,1,1,0
22,1,2,12
23,0,1,3
23,0,2,11
23,1,1,0
23,1,2,12
24,0,1,3
24,0,2,11
24,1,1,0
24,1,2,13
25,0,1,3
25,0,2,12
25,1,1,0
25,1,2,13
26,0,1,3
26,0,2,12
26,1,1,0
26,1,2,14
27,0,1,3
27,0,2,13
27,1,1,0
27,1,2,14
28,0,1,3
28,0,2,13
28,1,1,0
28,1,2,15
29,0,1,3
29,0,2,14
29,1,1,0
29,1,2,15
30,0,1,3
30,0,2,14
30,1,1,0
30,1,2,16
