tick,place,kind,value
0,0,1,1
0,0,2,0
0,1,1,0
0,1,2,0
0,2,1,0
0,2,2,0
1,0,1,1
1,0,2,1
1,1,1,0
1,1,2,0
1,2,1,0
1,2,2,0
2,0,1,1
2,0,2,2
2,1,1,0
2,1,2,0
2,2,1,0
2,2,2,0
3,0,1,1
3,0,2,1
3,1,1,0
3,1,2,1
3,2,1,0
3,2,2,1
4,0,1,1
4,0,2,2
4,1,1,0
4,1,2,1
4,2,1,0
4,2,2,1
5,0,1,1
5,0,2,3
5,1,1,0
5,1,2,1
5,2,1,0
5,2,2,1
6,0,1,1
6,0,2,2
6,1,1,0
6,1,2,2
6,2,1,0
6,2,2,2
7,0,1,1
7,0,2,3
7,1,1,0
7,1,2,2
7,2,1,0
7,2,2,2
8,0,1,1
8,0,2,4
8,1,1,0
8,1,2,2
8,2,1,0
8,2,2,2
9,0,1,1
9,0,2,3
9,1,1,0
9,1,2,3
9,2,1,0
9,2,2,3
10,0,1,1
10,0,2,4
10,1,1,0
10,1,2,3
10,2,1,0
10,2,2,3
11,0,1,1
11,0,2,5
11,1,1,0
11,1,2,3
11,2,1,0
11,2,2,3
12,0,1,1
12,0,2,4
12,1,1,0
12,1,2,4
12,2,1,0
12,2,2,4
13,0,1,1
13,0,2,5
13,1,1,0
13,1,2,4
13,2,1,0
13,2,2,4
14,0,1,1
14,0,2,6
14,1,1,0
14,1,2,4
14,2,1,0
14,2,2,4
15,0,1,1
15,0,2,5
15,1,1,0
15,1,2,5
15,2,1,0
15,2,2,5
16,0,1,1
16,0,2,6
16,1,1,0
16,1,2,5
16,2,1,0
16,2,2,5
17,0,1,1
17,0,2,7
17,1,1,0
17,1,2,5
17,2,1,0
17,2,2,5
18,0,1,1
18,0,2,6
18,1,1,0
18,1,2,6
18,2,1,0
18,2,2,6
19,0,1,1
19,0,2,7
19,1,1,0
19,1,2,6
19,2,1,0
19,2,2,6
20,0,1,1
20,0,2,8
20,1,1,0
20,1,2,6
20,2,1,0
20,2,2,6
21,0,1,1
21,0,2,7
21,1,1,0
21,1,2,7
21,2,1,0
21,2,2,7
22,0,1,1
22,0,2,8
22,1,1,0
22,1,2,7
22,2,1,0
22,2,2,7
23,0,1,1
23,0,2,9
23,1,1,0
23,1,2,7
23,2,1,0
23,2,2,7
24,0,1,1
24,0,2,8
24,1,1,0
24,1,2,8
24,2,1,0
24,2,2,8
25,0,1,1
25,0,2,9
25,1,1,0
25,1,2,8
25,2,1,0
25,2,2,8
26,0,1,1
26,0,2,10
26,1,1,0
26,1,2,8
26,2,1,0
26,2,2,8
27,0,1,1
27,0,2,9
27,1,1,0
27,1,2,9
27,2,1,0
27,2,2,9
28,0,1,1
28,0,2,10
28,1,1,0
28,1,2,9
28,2,1,0
28,2,2,9
29,0,1,1
29,0,2,11
29,1,1,0
29,1,2,9
29,2,1,0
29,2,2,9
30,0,1,1
30,0,2,10
30,1,1,0
30,1,2,10
30,2,1,0
30,2,2,10
