tick,kind(1),kind(2),kind(3),kind(4),kind(5)
0,108,0,2700,0,270
1,108,27,2700,0,271
2,108,54,2700,0,272
3,108,81,2700,0,273
4,108,108,2700,0,274
5,108,135,2700,0,275
6,108,162,2700,0,276
7,108,189,2700,0,277
8,108,216,2700,0,278
9,108,243,2700,0,279
10,108,270,2700,0,280
11,108,297,2700,0,281
12,108,324,2700,0,282
13,108,351,2700,0,283
14,108,378,2700,0,284
15,108,405,2700,0,285
16,108,432,2700,0,286
17,108,459,2700,0,287
18,108,486,2700,0,288
19,108,513,2700,0,289
20,108,540,2700,0,290
21,108,540,2700,0,291
22,108,540,2700,0,292
23,108,540,2700,0,293
24,108,540,2700,0,294
25,108,540,2700,0,295
26,108,540,2700,0,296
27,108,540,2700,0,297
28,108,540,2700,0,298
29,108,540,2700,0,299
30,108,540,2700,0,300
31,108,540,2700,0,301
32,108,540,2700,0,302
33,108,540,2700,0,303
34,108,540,2700,0,304
35,108,540,2700,0,305
36,108,540,2700,0,306
37,108,540,2700,0,307
38,108,540,2700,0,308
39,108,540,2700,0,309
40,108,540,2700,0,310
41,108,540,2700,0,311
42,108,540,2700,0,312
43,108,540,2700,0,313
44,108,540,2700,0,314
45,108,540,2700,0,315
46,108,540,2700,0,316
47,108,540,2700,0,317
48,108,540,2700,0,318
49,108,540,2700,0,319
50,108,540,2700,0,320
51,108,540,2700,0,321
52,108,540,2700,0,322
53,108,540,2700,0,323
54,108,540,2700,0,324
55,108,540,2700,0,325
56,108,540,2700,0,326
57,108,540,2700,0,327
58,108,540,2700,0,328
59,108,540,2700,0,329
60,108,540,2700,0,330
61,108,540,2700,0,331
62,108,540,2700,0,332
63,108,540,2700,0,333
64,108,540,2700,0,334
65,108,540,2700,0,335
66,108,540,2700,0,336
67,108,540,2700,0,337
68,108,540,2700,0,338
69,108,540,2700,0,339
70,108,540,2700,0,340
71,108,540,2700,0,341
72,108,540,2700,0,342
73,108,540,2700,0,343
74,108,540,2700,0,344
75,108,540,2700,0,345
76,108,540,2700,0,346
77,108,540,2700,0,347
78,108,540,2700,0,348
79,108,540,2700,0,349
80,108,540,2700,0,350
81,108,540,2700,0,351
82,108,540,2700,0,352
83,108,540,2700,0,353
84,108,540,2700,0,354
85,108,540,2700,0,355
86,108,540,2700,0,356
87,108,540,2700,0,357
88,108,540,2700,0,358
89,108,540,2700,0,359
90,108,540,2700,0,360
91,108,540,2700,0,361
92,108,540,2700,0,362
93,108,540,2700,0,363
94,108,540,2700,0,364
95,108,540,2700,0,365
96,108,540,2700,0,366
97,108,540,2700,0,367
98,108,540,2700,0,368
99,108,540,2700,0,369
100,108,540,2700,0,370
101,108,540,2700,0,371
102,108,540,2700,0,372
103,108,540,2700,0,373
104,108,540,2700,0,374
105,108,540,2700,0,375
106,108,540,2700,0,376
107,108,540,2700,0,377
108,108,540,2700,0,378
109,108,540,2700,0,379
110,108,540,2700,0,380
111,108,540,2700,0,381
112,108,540,2700,0,382
113,108,540,2700,0,383
114,108,540,2700,0,384
115,108,540,2700,0,385
116,108,540,2700,0,386
117,108,540,2700,0,387
118,108,540,2700,0,388
119,108,540,2700,0,389
120,108,540,2700,0,390
121,108,540,2700,0,391
122,108,540,2700,0,392
123,108,540,2700,0,393
124,108,540,2700,0,394
125,108,540,2700,0,395
126,108,540,2700,0,396
127,108,540,2700,0,397
128,108,540,2700,0,398
129,108,540,2700,0,399
130,108,540,2700,0,400
131,108,540,2700,0,401
132,108,540,2700,0,402
133,108,540,2700,0,403
134,108,540,2700,0,404
135,108,540,2700,0,405
136,108,540,2700,0,406
137,108,540,2700,0,407
138,108,540,2700,0,408
139,108,540,2700,0,409
140,108,540,2700,0,410
141,108,540,2700,0,411
142,108,540,2700,0,412
143,108,540,2700,0,413
144,108,540,2700,0,414
145,108,540,2700,0,415
146,108,540,2700,0,416
147,108,540,2700,0,417
148,108,540,2700,0,418
149,108,540,2700,0,419
150,108,540,2700,0,420
