tick,place,kind,value
0,0,1,8
0,0,2,0
0,0,3,100
0,0,4,0
0,0,5,10
0,1,1,8
0,1,2,0
0,1,3,100
0,1,4,0
0,1,5,10
0,2,1,8
0,2,2,0
0,2,3,100
0,2,4,0
0,2,5,10
0,3,1,7
0,3,2,0
0,3,3,100
0,3,4,0
0,3,5,10
0,4,1,7
0,4,2,0
0,4,3,100
0,4,4,0
0,4,5,10
0,5,1,7
0,5,2,0
0,5,3,100
0,5,4,0
0,5,5,10
0,6,1,6
0,6,2,0
0,6,3,100
0,6,4,0
0,6,5,10
0,7,1,6
0,7,2,0
0,7,3,100
0,7,4,0
0,7,5,10
0,8,1,6
0,8,2,0
0,8,3,100
0,8,4,0
0,8,5,10
0,9,1,5
0,9,2,0
0,9,3,100
0,9,4,0
0,9,5,10
0,10,1,5
0,10,2,0
0,10,3,100
0,10,4,0
0,10,5,10
0,11,1,5
0,11,2,0
0,11,3,100
0,11,4,0
0,11,5,10
0,12,1,4
0,12,2,0
0,12,3,100
0,12,4,0
0,12,5,10
0,13,1,4
0,13,2,0
0,13,3,100
0,13,4,0
0,13,5,10
0,14,1,4
0,14,2,0
0,14,3,100
0,14,4,0
0,14,5,10
0,15,1,3
0,15,2,0
0,15,3,100
0,15,4,0
0,15,5,10
0,16,1,3
0,16,2,0
0,16,3,100
0,16,4,0
0,16,5,10
0,17,1,3
0,17,2,0
0,17,3,100
0,17,4,0
0,17,5,10
0,18,1,2
0,18,2,0
0,18,3,100
0,18,4,0
0,18,5,10
0,19,1,2
0,19,2,0
0,19,3,100
0,19,4,0
0,19,5,10
0,20,1,2
0,20,2,0
0,20,3,100
0,20,4,0
0,20,5,10
0,21,1,1
0,21,2,0
0,21,3,100
0,21,4,0
0,21,5,10
0,22,1,1
0,22,2,0
0,22,3,100
0,22,4,0
0,22,5,10
0,23,1,1
0,23,2,0
0,23,3,100
0,23,4,0
0,23,5,10
0,24,1,0
0,24,2,0
0,24,3,100
0,24,4,0
0,24,5,10
0,25,1,0
0,25,2,0
0,25,3,100
0,25,4,0
0,25,5,10
0,26,1,0
0,26,2,0
0,26,3,100
0,26,4,0
0,26,5,10
1,0,1,8
1,0,2,1
1,0,3,100
1,0,4,0
1,0,5,8
1,1,1,8
1,1,2,1
1,1,3,100
1,1,4,0
1,1,5,13
1,2,1,8
1,2,2,1
1,2,3,100
1,2,4,0
1,2,5,10
1,3,1,7
1,3,2,1
1,3,3,100
1,3,4,0
1,3,5,10
1,4,1,7
1,4,2,1
1,4,3,100
1,4,4,0
1,4,5,10
1,5,1,7
1,5,2,1
1,5,3,100
1,5,4,0
1,5,5,10
1,6,1,6
1,6,2,1
1,6,3,100
1,6,4,0
1,6,5,10
1,7,1,6
1,7,2,1
1,7,3,100
1,7,4,0
1,7,5,10
1,8,1,6
1,8,2,1
1,8,3,100
1,8,4,0
1,8,5,10
1,9,1,5
1,9,2,1
1,9,3,100
1,9,4,0
1,9,5,10
1,10,1,5
1,10,2,1
1,10,3,100
1,10,4,0
1,10,5,10
1,11,1,5
1,11,2,1
1,11,3,100
1,11,4,0
1,11,5,10
1,12,1,4
1,12,2,1
1,12,3,100
1,12,4,0
1,12,5,10
1,13,1,4
1,13,2,1
1,13,3,100
1,13,4,0
1,13,5,10
1,14,1,4
1,14,2,1
1,14,3,100
1,14,4,0
1,14,5,10
1,15,1,3
1,15,2,1
1,15,3,100
1,15,4,0
1,15,5,10
1,16,1,3
1,16,2,1
1,16,3,100
1,16,4,0
1,16,5,10
1,17,1,3
1,17,2,1
1,17,3,100
1,17,4,0
1,17,5,10
1,18,1,2
1,18,2,1
1,18,3,100
1,18,4,0
1,18,5,10
1,19,1,2
1,19,2,1
1,19,3,100
1,19,4,0
1,19,5,10
1,20,1,2
1,20,2,1
1,20,3,100
1,20,4,0
1,20,5,10
1,21,1,1
1,21,2,1
1,21,3,100
1,21,4,0
1,21,5,10
1,22,1,1
1,22,2,1
1,22,3,100
1,22,4,0
1,22,5,10
1,23,1,1
1,23,2,1
1,23,3,100
1,23,4,0
1,23,5,10
1,24,1,0
1,24,2,1
1,24,3,100
1,24,4,0
1,24,5,10
1,25,1,0
1,25,2,1
1,25,3,100
1,25,4,0
1,25,5,10
1,26,1,0
1,26,2,1
1,26,3,100
1,26,4,0
1,26,5,10
2,0,1,8
2,0,2,2
2,0,3,100
2,0,4,0
2,0,5,6
2,1,1,8
2,1,2,2
2,1,3,100
2,1,4,0
2,1,5,16
2,2,1,8
2,2,2,2
2,2,3,100
2,2,4,0
2,2,5,10
2,3,1,7
2,3,2,2
2,3,3,100
2,3,4,0
2,3,5,10
2,4,1,7
2,4,2,2
2,4,3,100
2,4,4,0
2,4,5,10
2,5,1,7
2,5,2,2
2,5,3,100
2,5,4,0
2,5,5,10
2,6,1,6
2,6,2,2
2,6,3,100
2,6,4,0
2,6,5,10
2,7,1,6
2,7,2,2
2,7,3,100
2,7,4,0
2,7,5,10
2,8,1,6
2,8,2,2
2,8,3,100
2,8,4,0
2,8,5,10
2,9,1,5
2,9,2,2
2,9,3,100
2,9,4,0
2,9,5,10
2,10,1,5
2,10,2,2
2,10,3,100
2,10,4,0
2,10,5,10
2,11,1,5
2,11,2,2
2,11,3,100
2,11,4,0
2,11,5,10
2,12,1,4
2,12,2,2
2,12,3,100
2,12,4,0
2,12,5,10
2,13,1,4
2,13,2,2
2,13,3,100
2,13,4,0
2,13,5,10
2,14,1,4
2,14,2,2
2,14,3,100
2,14,4,0
2,14,5,10
2,15,1,3
2,15,2,2
2,15,3,100
2,15,4,0
2,15,5,10
2,16,1,3
2,16,2,2
2,16,3,100
2,16,4,0
2,16,5,10
2,17,1,3
2,17,2,2
2,17,3,100
2,17,4,0
2,17,5,10
2,18,1,2
2,18,2,2
2,18,3,100
2,18,4,0
2,18,5,10
2,19,1,2
2,19,2,2
2,19,3,100
2,19,4,0
2,19,5,10
2,20,1,2
2,20,2,2
2,20,3,100
2,20,4,0
2,20,5,10
2,21,1,1
2,21,2,2
2,21,3,100
2,21,4,0
2,21,5,10
2,22,1,1
2,22,2,2
2,22,3,100
2,22,4,0
2,22,5,10
2,23,1,1
2,23,2,2
2,23,3,100
2,23,4,0
2,23,5,10
2,24,1,0
2,24,2,2
2,24,3,100
2,24,4,0
2,24,5,10
2,25,1,0
2,25,2,2
2,25,3,100
2,25,4,0
2,25,5,10
2,26,1,0
2,26,2,2
2,26,3,100
2,26,4,0
2,26,5,10
3,0,1,8
3,0,2,3
3,0,3,100
3,0,4,0
3,0,5,4
3,1,1,8
3,1,2,3
3,1,3,100
3,1,4,0
3,1,5,19
3,2,1,8
3,2,2,3
3,2,3,100
3,2,4,0
3,2,5,10
3,3,1,7
3,3,2,3
3,3,3,100
3,3,4,0
3,3,5,10
3,4,1,7
3,4,2,3
3,4,3,100
3,4,4,0
3,4,5,10
3,5,1,7
3,5,2,3
3,5,3,100
3,5,4,0
3,5,5,10
3,6,1,6
3,6,2,3
3,6,3,100
3,6,4,0
3,6,5,10
3,7,1,6
3,7,2,3
3,7,3,100
3,7,4,0
3,7,5,10
3,8,1,6
3,8,2,3
3,8,3,100
3,8,4,0
3,8,5,10
3,9,1,5
3,9,2,3
3,9,3,100
3,9,4,0
3,9,5,10
3,10,1,5
3,10,2,3
3,10,3,100
