tick,kind(1),kind(2),kind(3),kind(4)
0,108,0,2700,0
1,108,27,2700,0
2,108,54,2700,0
3,108,81,2700,0
4,108,108,2700,0
5,108,135,2700,0
6,108,162,2700,0
7,108,189,2700,0
8,108,216,2700,0
9,108,243,2700,0
10,108,270,2700,0
11,108,297,2700,0
12,108,324,2700,0
13,108,351,2700,0
14,108,378,2700,0
15,108,405,2700,0
16,108,432,2700,0
17,108,459,2700,0
18,108,486,2700,0
19,108,513,2700,0
20,108,540,2700,0
21,108,540,2700,0
22,108,540,2700,0
23,108,540,2700,0
24,108,540,2700,0
25,108,540,2700,0
26,108,540,2700,0
27,108,540,2700,0
28,108,540,2700,0
29,108,540,2700,0
30,108,540,2700,0
31,108,540,2700,0
32,108,540,2700,0
33,108,540,2700,0
34,108,540,2700,0
35,108,540,2700,0
36,108,540,2700,0
37,108,540,2700,0
38,108,540,2700,0
39,108,540,2700,0
40,108,540,2700,0
41,108,540,2700,0
42,108,540,2700,0
43,108,540,2700,0
44,108,540,2700,0
45,108,540,2700,0
46,108,540,2700,0
47,108,540,2700,0
48,108,540,2700,0
49,108,540,2700,0
50,108,540,2700,0
51,108,540,2700,0
52,108,540,2700,0
53,108,540,2700,0
54,108,540,2700,0
55,108,540,2700,0
56,108,540,2700,0
57,108,540,2700,0
58,108,540,2700,0
59,108,540,2700,0
60,108,540,2700,0
61,108,540,2700,0
62,108,540,2700,0
63,108,540,2700,0
64,108,540,2700,0
65,108,540,2700,0
66,108,540,2700,0
67,108,540,2700,0
68,108,540,2700,0
69,108,540,2700,0
70,108,540,2700,0
71,108,540,2700,0
72,108,540,2700,0
73,108,540,2700,0
74,108,540,2700,0
75,108,540,2700,0
76,108,540,2700,0
77,108,540,2700,0
78,108,540,2700,0
79,108,540,2700,0
80,108,540,2700,0
81,108,540,2700,0
82,108,540,2700,0
83,108,540,2700,0
84,108,540,2700,0
85,108,540,2700,0
86,108,540,2700,0
87,108,540,2700,0
88,108,540,2700,0
89,108,540,2700,0
90,108,540,2700,0
91,108,540,2700,0
92,108,540,2700,0
93,108,540,2700,0
94,108,540,2700,0
95,108,540,2700,0
96,108,540,2700,0
97,108,540,2700,0
98,108,540,2700,0
99,108,540,2700,0
100,108,540,2700,0
101,108,540,2700,0
102,108,540,2700,0
103,108,540,2700,0
104,108,540,2700,0
105,108,540,2700,0
106,108,540,2700,0
107,108,540,2700,0
108,108,540,2700,0
109,108,540,2700,0
110,108,540,2700,0
111,108,540,2700,0
112,108,540,2700,0
113,108,540,2700,0
114,108,540,2700,0
115,108,540,2700,0
116,108,540,2700,0
117,108,540,2700,0
118,108,540,2700,0
119,108,540,2700,0
120,108,540,2700,0
121,108,540,2700,0
122,108,540,2700,0
123,108,540,2700,0
124,108,540,2700,0
125,108,540,2700,0
126,108,540,2700,0
127,108,540,2700,0
128,108,540,2700,0
129,108,540,2700,0
130,108,540,2700,0
131,108,540,2700,0
132,108,540,2700,0
133,108,540,2700,0
134,108,540,2700,0
135,108,540,2700,0
136,108,540,2700,0
137,108,540,2700,0
138,108,540,2700,0
139,108,540,2700,0
140,108,540,2700,0
141,108,540,2700,0
142,108,540,2700,0
143,108,540,2700,0
144,108,540,2700,0
145,108,540,2700,0
146,108,540,2700,0
147,108,540,2700,0
148,108,540,2700,0
149,108,540,2700,0
150,108,540,2700,0
