tick,source,target,amount
2,3,2,1
2,3,4,1
2,3,10,1
6,3,2,1
6,3,4,1
6,3,10,1
7,2,9,1
7,4,11,1
7,10,9,1
7,10,11,1
7,10,17,1
8,3,10,1
8,9,16,1
8,11,18,1
9,3,10,1
11,3,2,1
11,3,4,1
11,3,10,1
15,3,2,1
15,3,4,1
15,3,10,1
16,2,9,1
16,4,11,1
16,10,9,1
16,10,11,1
16,10,17,1
17,3,10,1
17,9,16,1
17,11,18,1
17,17,24,1
18,3,10,1
18,16,23,1
18,18,25,1
20,3,2,1
20,3,4,1
20,3,10,1
21,10,17,1
23,3,10,1
25,3,2,1
25,3,4,1
25,3,10,1
26,2,9,1
26,4,11,1
26,10,9,1
26,10,11,1
26,10,17,1
27,3,10,1
27,9,16,1
27,11,18,1
27,17,16,1
27,17,18,1
27,17,24,1
28,3,10,1
28,10,17,1
28,16,23,1
28,18,25,1
28,24,31,1
29,3,10,1
29,23,30,1
29,25,32,1
30,10,17,1
31,3,2,1
31,3,4,1
31,3,10,1
34,3,10,1
35,10,17,1
36,3,2,1
36,3,4,1
36,3,10,1
36,17,24,1
37,2,9,1
37,4,11,1
37,10,17,1
38,3,10,1
38,9,16,1
38,11,18,1
39,16,23,1
39,18,25,1
40,3,2,1
40,3,4,1
40,3,10,1
41,2,9,1
41,4,11,1
41,10,9,1
41,10,11,1
41,10,17,1
42,3,10,1
42,9,16,1
42,11,18,1
42,17,16,1
42,17,18,1
42,17,24,1
43,3,10,1
43,10,17,1
43,16,23,1
43,18,25,1
43,24,31,1
44,3,10,1
44,23,30,1
44,25,32,1
44,31,38,1
45,10,17,1
45,30,37,1
45,32,39,1
46,3,2,1
46,3,4,1
46,3,10,1
49,3,10,1
50,10,17,1
51,3,2,1
51,3,4,1
51,3,10,1
51,17,24,1
52,2,1,1
52,2,9,1
52,4,5,1
52,4,11,1
52,10,17,1
52,24,31,1
53,3,2,1
53,3,4,1
53,3,10,1
53,9,16,1
53,11,18,1
53,17,24,1
54,10,17,1
54,16,23,1
54,18,25,1
55,23,30,1
55,25,32,1
56,3,10,1
58,3,2,1
58,3,4,1
58,3,10,1
59,2,9,1
59,4,11,1
59,10,9,1
59,10,11,1
59,10,17,1
60,3,10,1
60,9,8,1
60,9,16,1
60,11,12,1
60,11,18,1
60,17,16,1
60,17,18,1
60,17,24,1
61,10,17,1
61,16,23,1
61,18,25,1
61,24,23,1
61,24,25,1
61,24,31,1
62,3,10,1
62,17,24,1
62,23,30,1
62,25,32,1
62,31,38,1
63,10,17,1
63,30,37,1
63,32,39,1
63,38,45,1
64,37,44,1
64,39,46,1
