tick,left,centre,right,left_minus_right,total
0,0,0,0,0,0
1,0,1,0,0,1
2,0,2,0,0,2
3,1,1,1,0,3
4,1,2,1,0,4
5,1,3,1,0,5
6,1,4,1,0,6
7,2,3,2,0,7
8,3,2,3,0,8
9,3,3,3,0,9
10,3,4,3,0,10
11,3,5,3,0,11
12,4,4,4,0,12
13,4,5,4,0,13
14,4,6,4,0,14
15,4,7,4,0,15
16,5,6,5,0,16
17,6,5,6,0,17
18,6,6,6,0,18
19,6,7,6,0,19
20,6,8,6,0,20
21,7,7,7,0,21
22,7,8,7,0,22
23,7,9,7,0,23
24,7,10,7,0,24
25,7,11,7,0,25
26,8,10,8,0,26
27,9,9,9,0,27
28,10,8,10,0,28
29,10,9,10,0,29
30,10,10,10,0,30
31,10,11,10,0,31
32,11,10,11,0,32
33,11,11,11,0,33
34,11,12,11,0,34
35,11,13,11,0,35
36,11,14,11,0,36
37,12,13,12,0,37
38,12,14,12,0,38
39,12,15,12,0,39
40,12,16,12,0,40
41,13,15,13,0,41
42,14,14,14,0,42
43,15,13,15,0,43
44,15,14,15,0,44
45,15,15,15,0,45
46,15,16,15,0,46
47,16,15,16,0,47
48,16,16,16,0,48
49,16,17,16,0,49
50,16,18,16,0,50
51,16,19,16,0,51
52,17,18,17,0,52
53,17,19,17,0,53
54,18,18,18,0,54
55,18,19,18,0,55
56,18,20,18,0,56
57,18,21,18,0,57
58,18,22,18,0,58
59,19,21,19,0,59
60,20,20,20,0,60
61,21,18,21,0,60
62,22,16,22,0,60
63,22,16,22,0,60
64,22,16,22,0,60
65,22,16,22,0,60
66,22,16,22,0,60
67,22,16,22,0,60
68,22,16,22,0,60
69,22,16,22,0,60
70,22,16,22,0,60
71,22,16,22,0,60
72,22,16,22,0,60
73,22,16,22,0,60
74,22,16,22,0,60
75,22,16,22,0,60
76,22,16,22,0,60
77,22,16,22,0,60
78,22,16,22,0,60
79,22,16,22,0,60
80,22,16,22,0,60
81,22,16,22,0,60
82,22,16,22,0,60
83,22,16,22,0,60
84,22,16,22,0,60
85,22,16,22,0,60
86,22,16,22,0,60
87,22,16,22,0,60
88,22,16,22,0,60
89,22,16,22,0,60
90,22,16,22,0,60
91,22,16,22,0,60
92,22,16,22,0,60
93,22,16,22,0,60
94,22,16,22,0,60
95,22,16,22,0,60
96,22,16,22,0,60
97,22,16,22,0,60
98,22,16,22,0,60
99,22,16,22,0,60
100,22,16,22,0,60
101,22,16,22,0,60
102,22,16,22,0,60
103,22,16,22,0,60
104,22,16,22,0,60
105,22,16,22,0,60
106,22,16,22,0,60
107,22,16,22,0,60
108,22,16,22,0,60
109,22,16,22,0,60
110,22,16,22,0,60
111,22,16,22,0,60
112,22,16,22,0,60
113,22,16,22,0,60
114,22,16,22,0,60
115,22,16,22,0,60
116,22,16,22,0,60
117,22,16,22,0,60
118,22,16,22,0,60
119,22,16,22,0,60
120,22,16,22,0,60
