tick,row,col,elevation,water
0,0,0,20,0
0,0,1,18,0
0,0,2,17,0
0,0,3,20,0
0,0,4,17,0
0,0,5,18,0
0,0,6,20,0
0,1,0,17,0
0,1,1,15,0
0,1,2,14,0
0,1,3,17,0
0,1,4,14,0
0,1,5,15,0
0,1,6,17,0
0,2,0,14,0
0,2,1,12,0
0,2,2,11,0
0,2,3,14,0
0,2,4,11,0
0,2,5,12,0
0,2,6,14,0
0,3,0,11,0
0,3,1,9,0
0,3,2,9,0
0,3,3,11,0
0,3,4,8,0
0,3,5,9,0
0,3,6,11,0
0,4,0,8,0
0,4,1,6,0
0,4,2,5,0
0,4,3,8,0
0,4,4,5,0
0,4,5,6,0
0,4,6,8,0
0,5,0,5,0
0,5,1,3,0
0,5,2,2,0
0,5,3,5,0
0,5,4,2,0
0,5,5,3,0
0,5,6,5,0
0,6,0,2,0
0,6,1,0,0
0,6,2,-1,0
0,6,3,2,0
0,6,4,-1,0
0,6,5,0,0
0,6,6,2,0
1,0,0,20,0
1,0,1,18,0
1,0,2,17,0
1,0,3,20,1
1,0,4,17,0
1,0,5,18,0
1,0,6,20,0
1,1,0,17,0
1,1,1,15,0
1,1,2,14,0
1,1,3,17,0
1,1,4,14,0
1,1,5,15,0
1,1,6,17,0
1,2,0,14,0
1,2,1,12,0
1,2,2,11,0
1,2,3,14,0
1,2,4,11,0
1,2,5,12,0
1,2,6,14,0
1,3,0,11,0
1,3,1,9,0
1,3,2,9,0
1,3,3,11,0
1,3,4,8,0
1,3,5,9,0
1,3,6,11,0
1,4,0,8,0
1,4,1,6,0
1,4,2,5,0
1,4,3,8,0
1,4,4,5,0
1,4,5,6,0
1,4,6,8,0
1,5,0,5,0
1,5,1,3,0
1,5,2,2,0
1,5,3,5,0
1,5,4,2,0
1,5,5,3,0
1,5,6,5,0
1,6,0,2,0
1,6,1,0,0
1,6,2,-1,0
1,6,3,2,0
1,6,4,-1,0
1,6,5,0,0
1,6,6,2,0
2,0,0,20,0
2,0,1,18,0
2,0,2,17,0
2,0,3,20,2
2,0,4,17,0
2,0,5,18,0
2,0,6,20,0
2,1,0,17,0
2,1,1,15,0
2,1,2,14,0
2,1,3,17,0
2,1,4,14,0
2,1,5,15,0
2,1,6,17,0
2,2,0,14,0
2,2,1,12,0
2,2,2,11,0
2,2,3,14,0
2,2,4,11,0
2,2,5,12,0
2,2,6,14,0
2,3,0,11,0
2,3,1,9,0
2,3,2,9,0
2,3,3,11,0
2,3,4,8,0
2,3,5,9,0
2,3,6,11,0
2,4,0,8,0
2,4,1,6,0
2,4,2,5,0
2,4,3,8,0
2,4,4,5,0
2,4,5,6,0
2,4,6,8,0
2,5,0,5,0
2,5,1,3,0
2,5,2,2,0
2,5,3,5,0
2,5,4,2,0
2,5,5,3,0
2,5,6,5,0
2,6,0,2,0
2,6,1,0,0
